GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",252,86,130,73,8,14,0,11,8,14,0,11,122,72,122,51
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",247,78,175,73,6,12,0,11,6,12,0,11,169,74,72,34
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",197,78,151,74,6,12,6,12,0,11,26,47,119,59,46,37
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",127,76,99,68,0,11,0,11,0,11,28,42,71,52,28,34
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",237,77,166,70,28,26,19,23,9,14,0,11,138,66,71,44
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",918,96,816,100,63,34,16,18,47,39,0,11,753,103,102,52
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",121,45,95,41,24,26,17,24,7,11,0,11,71,41,26,31
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",6,11,0,11,0,11,0,11,0,11,0,11,0,11,6,11
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",135,58,106,54,29,33,0,11,29,33,0,11,77,55,29,23
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",205,85,158,84,0,11,0,11,0,11,0,11,158,84,47,36
