GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not imputed
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,0,0
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",3987,0,3987
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,0,0
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1075,60,1015
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1426,151,1275
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",725,50,675
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,0,0
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",343,15,328
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",832,8,824
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",2089,9,2080
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",261,0,261
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",1538,39,1499
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",487,0,487
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",434,0,434
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",939,36,903
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",0,0,0
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",760,18,742
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",72,0,72
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",605,0,605
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",0,0,0
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",0,0,0
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",1021,160,861
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",801,77,724
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",1421,19,1402
1500000US360050020004,360050020004,"Block Group 4, Census Tract 20, Bronx County, New York",460,0,460
1500000US360050020005,360050020005,"Block Group 5, Census Tract 20, Bronx County, New York",310,24,286
1500000US360050020006,360050020006,"Block Group 6, Census Tract 20, Bronx County, New York",713,59,654
1500000US360050023001,360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",1125,0,1125
1500000US360050023002,360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",354,6,348
1500000US360050023003,360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",826,0,826
1500000US360050024000,360050024000,"Block Group 0, Census Tract 24, Bronx County, New York",0,0,0
1500000US360050024001,360050024001,"Block Group 1, Census Tract 24, Bronx County, New York",71,0,71
1500000US360050025001,360050025001,"Block Group 1, Census Tract 25, Bronx County, New York",468,0,468
1500000US360050025002,360050025002,"Block Group 2, Census Tract 25, Bronx County, New York",650,21,629
1500000US360050025003,360050025003,"Block Group 3, Census Tract 25, Bronx County, New York",647,40,607
1500000US360050025004,360050025004,"Block Group 4, Census Tract 25, Bronx County, New York",506,13,493
1500000US360050025005,360050025005,"Block Group 5, Census Tract 25, Bronx County, New York",383,25,358
1500000US360050027011,360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",714,15,699
1500000US360050027012,360050027012,"Block Group 2, Census Tract 27.01, Bronx County, New York",729,0,729
1500000US360050027021,360050027021,"Block Group 1, Census Tract 27.02, Bronx County, New York",657,12,645
1500000US360050027022,360050027022,"Block Group 2, Census Tract 27.02, Bronx County, New York",328,0,328
1500000US360050027023,360050027023,"Block Group 3, Census Tract 27.02, Bronx County, New York",796,0,796
1500000US360050027024,360050027024,"Block Group 4, Census Tract 27.02, Bronx County, New York",450,24,426
1500000US360050028000,360050028000,"Block Group 0, Census Tract 28, Bronx County, New York",0,0,0
1500000US360050028001,360050028001,"Block Group 1, Census Tract 28, Bronx County, New York",792,29,763
1500000US360050028002,360050028002,"Block Group 2, Census Tract 28, Bronx County, New York",1339,0,1339
1500000US360050028003,360050028003,"Block Group 3, Census Tract 28, Bronx County, New York",815,0,815
1500000US360050028004,360050028004,"Block Group 4, Census Tract 28, Bronx County, New York",695,0,695
1500000US360050031001,360050031001,"Block Group 1, Census Tract 31, Bronx County, New York",791,0,791
1500000US360050033001,360050033001,"Block Group 1, Census Tract 33, Bronx County, New York",293,5,288
1500000US360050033002,360050033002,"Block Group 2, Census Tract 33, Bronx County, New York",559,8,551
1500000US360050033003,360050033003,"Block Group 3, Census Tract 33, Bronx County, New York",873,16,857
1500000US360050035001,360050035001,"Block Group 1, Census Tract 35, Bronx County, New York",414,0,414
1500000US360050035002,360050035002,"Block Group 2, Census Tract 35, Bronx County, New York",875,29,846
1500000US360050035003,360050035003,"Block Group 3, Census Tract 35, Bronx County, New York",674,0,674
1500000US360050037001,360050037001,"Block Group 1, Census Tract 37, Bronx County, New York",171,0,171
1500000US360050038001,360050038001,"Block Group 1, Census Tract 38, Bronx County, New York",700,18,682
1500000US360050039001,360050039001,"Block Group 1, Census Tract 39, Bronx County, New York",820,96,724
1500000US360050039002,360050039002,"Block Group 2, Census Tract 39, Bronx County, New York",816,6,810
1500000US360050039003,360050039003,"Block Group 3, Census Tract 39, Bronx County, New York",485,0,485
1500000US360050039004,360050039004,"Block Group 4, Census Tract 39, Bronx County, New York",424,0,424
1500000US360050039005,360050039005,"Block Group 5, Census Tract 39, Bronx County, New York",645,38,607
1500000US360050040011,360050040011,"Block Group 1, Census Tract 40.01, Bronx County, New York",920,14,906
1500000US360050041001,360050041001,"Block Group 1, Census Tract 41, Bronx County, New York",763,26,737
1500000US360050041002,360050041002,"Block Group 2, Census Tract 41, Bronx County, New York",1069,30,1039
1500000US360050041003,360050041003,"Block Group 3, Census Tract 41, Bronx County, New York",12,6,6
1500000US360050041004,360050041004,"Block Group 4, Census Tract 41, Bronx County, New York",946,35,911
1500000US360050042001,360050042001,"Block Group 1, Census Tract 42, Bronx County, New York",389,0,389
1500000US360050042002,360050042002,"Block Group 2, Census Tract 42, Bronx County, New York",1338,41,1297
1500000US360050042003,360050042003,"Block Group 3, Census Tract 42, Bronx County, New York",858,21,837
1500000US360050042004,360050042004,"Block Group 4, Census Tract 42, Bronx County, New York",675,10,665
1500000US360050042005,360050042005,"Block Group 5, Census Tract 42, Bronx County, New York",399,0,399
1500000US360050042006,360050042006,"Block Group 6, Census Tract 42, Bronx County, New York",0,0,0
1500000US360050042007,360050042007,"Block Group 7, Census Tract 42, Bronx County, New York",461,0,461
1500000US360050043001,360050043001,"Block Group 1, Census Tract 43, Bronx County, New York",796,35,761
1500000US360050043002,360050043002,"Block Group 2, Census Tract 43, Bronx County, New York",1161,0,1161
