GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",7503,365,933,187,4697,297,14,18,135,62,0,16,1612,232,112,52,64,41,48,33
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",2114,488,758,364,688,471,0,11,53,113,0,11,484,323,131,184,0,11,131,184
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",2168,607,1042,502,476,241,0,11,0,11,0,11,520,345,130,132,0,11,130,132
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",969,370,482,284,138,132,0,11,94,112,0,11,248,259,7,13,7,13,0,11
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",646,260,286,204,225,183,0,11,0,11,0,11,135,129,0,11,0,11,0,11
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",1400,348,1055,302,116,94,0,11,23,36,0,11,193,162,13,20,0,11,13,20
