GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",514,94,0,11,0,11,98,56,10,15,0,11,0,11,105,74,50,45,48,53,203,84
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",559,104,0,11,0,11,47,45,0,11,21,22,91,64,67,53,92,57,108,76,133,62
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",413,106,0,11,0,11,110,78,59,55,35,40,50,45,21,33,12,28,79,51,47,54
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",298,88,0,11,0,11,52,42,11,17,9,14,65,61,49,49,10,15,11,16,91,58
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",549,122,0,11,0,11,123,62,17,18,56,57,56,53,41,48,22,36,32,31,202,89
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",1081,118,0,11,19,22,457,102,283,111,77,45,13,21,63,69,31,25,38,40,100,49
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",202,61,0,11,0,11,194,63,8,12,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",1134,97,0,11,0,11,0,11,102,58,0,11,752,116,149,82,72,59,42,38,17,22
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",261,87,0,11,8,14,37,53,37,40,0,11,7,11,124,62,40,43,0,11,8,13
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",268,68,0,11,0,11,0,11,0,11,16,19,184,65,42,40,16,18,0,11,10,15
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",386,107,0,11,31,23,180,83,36,40,0,11,16,14,31,36,0,11,0,11,92,74
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",748,57,0,11,289,65,130,46,10,17,4,7,0,11,24,23,27,19,23,26,241,48
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",40,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,40,25
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",223,45,0,11,25,18,42,26,0,11,14,18,0,11,0,11,5,7,5,7,132,41
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",361,131,0,11,0,11,0,11,0,11,12,21,28,41,52,61,30,52,146,93,93,86
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",738,161,0,11,0,11,0,11,0,11,103,109,89,83,135,86,59,65,138,116,214,131
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",948,204,0,11,0,11,0,11,0,11,36,59,44,69,185,124,412,170,190,101,81,62
1500000US360050020004,360050020004,"Block Group 4, Census Tract 20, Bronx County, New York",474,133,0,11,0,11,16,25,0,11,29,45,37,56,62,73,174,117,12,20,144,93
1500000US360050020005,360050020005,"Block Group 5, Census Tract 20, Bronx County, New York",218,84,0,11,0,11,0,11,0,11,0,11,50,61,100,57,68,57,0,11,0,11
