No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",In labor force:,In labor force: - Civilian labor force:,In labor force: - Civilian labor force: - Employed,In labor force: - Civilian labor force: - Unemployed,In labor force: - Armed Forces,Not in labor force,Family households:,Family households: - 2-person household,Family households: - 3-person household,Family households: - 4-person household,Family households: - 5-person household,Family households: - 6-person household,Family households: - 7-or-more person household,Nonfamily households:,Nonfamily households: - 1-person household,Nonfamily households: - 2-person household,Nonfamily households: - 3-person household,Nonfamily households: - 4-person household,Nonfamily households: - 5-person household,Nonfamily households: - 6-person household,Nonfamily households: - 7-or-more person household,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races",Total,Built 2014 or later,Built 2010 to 2013,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier,FELONY,MISDEMEANOR,VIOLATION,FELONY_perc,MISDEMEANOR_perc,VIOLATION_perc
14.0,0.0,0.0,0.0,13.0,0.0,0.0,71.0,0.0,27.0,67.0,61.0,1.0,0.0,117.0,299.0,10.0,75.0,212.0,48.0,135.0,122.0,14.0,0.0,923.0,0.0,28.0,94.0,34.0,85.0,0.0,30.0,91.0,55.0,50.0,68.0,19.0,142.0,106.0,0.0,0.0,20.0,19.0,20.0,39.0,0.0,11.0,12.0,1191.0,70.0,112.0,161.0,44.0,20.0,0.0,0.0,59.0,10.0,37.0,128.0,40.0,141.0,109.0,40.0,49.0,59.0,0.0,0.0,89.0,13.0,10.0,0.0,71.0,0.0,17.0,10.0,0.0,28.0,13.0,46.0,0.0,26.0,90.0,78.0,9.0,33.0,40.0,37.0,954.0,954.0,908.0,46.0,0.0,651.0,427.0,33.0,192.0,52.0,40.0,63.0,47.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,688.0,0.0,53.0,0.0,484.0,131.0,0.0,131.0,2114.0,0.0,0.0,98.0,10.0,0.0,0.0,105.0,50.0,48.0,203.0,15.0,30.0,8.0,0.007095553453169348,0.014191106906338695,0.003784295175023652
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,45.0,78.0,62.0,20.0,38.0,418.0,94.0,76.0,143.0,184.0,171.0,63.0,0.0,0.0,1122.0,36.0,63.0,65.0,0.0,38.0,25.0,0.0,56.0,76.0,222.0,25.0,83.0,49.0,61.0,118.0,30.0,27.0,17.0,44.0,66.0,14.0,0.0,7.0,1046.0,34.0,116.0,48.0,2.0,91.0,0.0,0.0,122.0,46.0,53.0,50.0,65.0,67.0,72.0,49.0,15.0,29.0,25.0,95.0,49.0,0.0,9.0,9.0,47.0,14.0,18.0,15.0,1.0,27.0,0.0,23.0,0.0,63.0,41.0,51.0,86.0,45.0,67.0,0.0,947.0,947.0,835.0,112.0,0.0,858.0,388.0,120.0,51.0,76.0,33.0,0.0,108.0,110.0,89.0,11.0,0.0,0.0,0.0,10.0,0.0,1042.0,476.0,0.0,0.0,0.0,520.0,130.0,0.0,130.0,2168.0,0.0,0.0,47.0,0.0,21.0,91.0,67.0,92.0,108.0,133.0,24.0,35.0,15.0,0.01107011070110701,0.01614391143911439,0.006918819188191882
27.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,9.0,8.0,14.0,19.0,222.0,36.0,11.0,148.0,103.0,106.0,0.0,0.0,4.0,439.0,0.0,0.0,21.0,33.0,7.0,0.0,0.0,11.0,30.0,23.0,0.0,26.0,12.0,66.0,35.0,25.0,0.0,31.0,0.0,98.0,8.0,13.0,0.0,530.0,45.0,0.0,44.0,26.0,0.0,0.0,0.0,47.0,47.0,65.0,22.0,0.0,38.0,43.0,60.0,20.0,33.0,17.0,7.0,7.0,0.0,0.0,9.0,15.0,0.0,0.0,9.0,46.0,39.0,0.0,21.0,0.0,7.0,17.0,38.0,78.0,61.0,4.0,0.0,437.0,437.0,437.0,0.0,0.0,418.0,260.0,145.0,37.0,34.0,0.0,20.0,24.0,75.0,54.0,21.0,0.0,0.0,0.0,0.0,0.0,482.0,138.0,0.0,94.0,0.0,248.0,7.0,7.0,0.0,969.0,0.0,0.0,110.0,59.0,35.0,50.0,21.0,12.0,79.0,47.0,16.0,31.0,5.0,0.016511867905056758,0.03199174406604747,0.005159958720330237
0.0,0.0,0.0,0.0,10.0,0.0,0.0,13.0,15.0,11.0,0.0,0.0,30.0,19.0,0.0,82.0,11.0,47.0,66.0,75.0,33.0,14.0,0.0,0.0,328.0,24.0,29.0,11.0,10.0,0.0,0.0,23.0,0.0,45.0,0.0,24.0,34.0,0.0,34.0,71.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,318.0,0.0,82.0,31.0,0.0,10.0,0.0,0.0,0.0,41.0,14.0,39.0,0.0,9.0,18.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,72.0,0.0,19.0,0.0,0.0,0.0,24.0,20.0,0.0,29.0,22.0,65.0,0.0,0.0,0.0,0.0,337.0,337.0,296.0,41.0,0.0,132.0,172.0,73.0,68.0,0.0,31.0,0.0,0.0,79.0,68.0,11.0,0.0,0.0,0.0,0.0,0.0,286.0,225.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,646.0,0.0,0.0,52.0,11.0,9.0,65.0,49.0,10.0,11.0,91.0,20.0,54.0,18.0,0.030959752321981424,0.08359133126934984,0.02786377708978328
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,22.0,33.0,49.0,37.0,17.0,251.0,9.0,31.0,194.0,62.0,62.0,35.0,0.0,0.0,530.0,25.0,9.0,32.0,34.0,14.0,0.0,0.0,16.0,44.0,55.0,28.0,11.0,20.0,50.0,81.0,0.0,39.0,8.0,14.0,9.0,22.0,19.0,0.0,870.0,59.0,61.0,126.0,58.0,14.0,36.0,0.0,29.0,40.0,19.0,110.0,52.0,80.0,48.0,18.0,11.0,14.0,40.0,30.0,0.0,8.0,10.0,7.0,73.0,17.0,18.0,0.0,36.0,20.0,36.0,35.0,10.0,58.0,51.0,32.0,32.0,20.0,0.0,10.0,576.0,576.0,532.0,44.0,0.0,495.0,367.0,137.0,79.0,96.0,55.0,0.0,0.0,81.0,41.0,40.0,0.0,0.0,0.0,0.0,0.0,1055.0,116.0,0.0,23.0,0.0,193.0,13.0,0.0,13.0,1400.0,0.0,0.0,123.0,17.0,56.0,56.0,41.0,22.0,32.0,202.0,24.0,47.0,13.0,0.017142857142857144,0.03357142857142857,0.009285714285714286
17.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,29.0,81.0,34.0,38.0,398.0,100.0,140.0,493.0,385.0,428.0,260.0,15.0,10.0,1738.0,77.0,83.0,77.0,49.0,46.0,59.0,22.0,80.0,159.0,136.0,36.0,126.0,147.0,203.0,166.0,63.0,79.0,24.0,8.0,33.0,37.0,13.0,15.0,1655.0,159.0,54.0,95.0,18.0,29.0,0.0,0.0,75.0,131.0,164.0,56.0,103.0,182.0,165.0,70.0,49.0,65.0,57.0,30.0,64.0,58.0,0.0,31.0,0.0,0.0,27.0,13.0,17.0,10.0,47.0,0.0,26.0,28.0,147.0,213.0,210.0,159.0,113.0,35.0,1885.0,1885.0,1701.0,184.0,0.0,923.0,836.0,258.0,262.0,174.0,83.0,43.0,16.0,209.0,162.0,47.0,0.0,0.0,0.0,0.0,0.0,1142.0,1530.0,19.0,15.0,0.0,560.0,127.0,0.0,127.0,3393.0,0.0,19.0,457.0,283.0,77.0,13.0,63.0,31.0,38.0,100.0,18.0,38.0,18.0,0.005305039787798408,0.011199528440907752,0.005305039787798408
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,37.0,0.0,48.0,0.0,20.0,76.0,41.0,70.0,37.0,0.0,8.0,250.0,0.0,0.0,0.0,0.0,40.0,0.0,24.0,12.0,41.0,21.0,0.0,0.0,44.0,30.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,291.0,0.0,0.0,67.0,19.0,9.0,0.0,13.0,0.0,9.0,0.0,22.0,0.0,45.0,18.0,18.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,18.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,41.0,37.0,0.0,18.0,12.0,301.0,301.0,292.0,9.0,0.0,173.0,155.0,56.0,44.0,55.0,0.0,0.0,0.0,27.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,110.0,148.0,0.0,19.0,0.0,239.0,25.0,0.0,25.0,541.0,0.0,0.0,194.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,5.0,0.0166358595194085,0.04251386321626617,0.009242144177449169
56.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,25.0,35.0,8.0,57.0,66.0,110.0,102.0,473.0,141.0,115.0,205.0,252.0,90.0,112.0,0.0,0.0,1394.0,135.0,99.0,153.0,31.0,103.0,40.0,29.0,136.0,71.0,66.0,33.0,83.0,144.0,95.0,74.0,29.0,48.0,13.0,12.0,0.0,0.0,0.0,0.0,2033.0,100.0,222.0,116.0,65.0,21.0,66.0,72.0,102.0,100.0,111.0,57.0,183.0,123.0,221.0,146.0,52.0,91.0,0.0,39.0,50.0,49.0,40.0,7.0,107.0,167.0,103.0,39.0,98.0,119.0,117.0,66.0,32.0,93.0,74.0,21.0,50.0,19.0,0.0,0.0,1521.0,1521.0,1363.0,158.0,0.0,1023.0,875.0,336.0,175.0,215.0,78.0,31.0,40.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,1532.0,0.0,0.0,0.0,526.0,53.0,17.0,36.0,3427.0,0.0,0.0,0.0,102.0,0.0,752.0,149.0,72.0,42.0,17.0,4.0,12.0,1.0,0.0011672016340822876,0.0035016049022468633,0.0002918004085205719
10.0,0.0,0.0,4.0,0.0,0.0,19.0,50.0,9.0,3.0,0.0,27.0,0.0,46.0,0.0,142.0,28.0,7.0,36.0,21.0,13.0,18.0,0.0,0.0,289.0,23.0,18.0,66.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,59.0,6.0,0.0,3.0,4.0,0.0,26.0,12.0,0.0,6.0,50.0,7.0,0.0,373.0,0.0,38.0,67.0,8.0,0.0,0.0,0.0,0.0,0.0,58.0,26.0,0.0,3.0,3.0,14.0,24.0,0.0,60.0,0.0,6.0,6.0,33.0,27.0,94.0,15.0,0.0,21.0,0.0,9.0,15.0,7.0,0.0,34.0,7.0,43.0,0.0,0.0,0.0,0.0,184.0,184.0,172.0,12.0,0.0,258.0,186.0,113.0,7.0,29.0,37.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,91.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,662.0,0.0,8.0,37.0,37.0,0.0,7.0,124.0,40.0,0.0,8.0,9.0,18.0,1.0,0.013595166163141994,0.027190332326283987,0.0015105740181268882
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,30.0,0.0,7.0,88.0,16.0,10.0,81.0,16.0,62.0,0.0,0.0,0.0,125.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,10.0,31.0,0.0,0.0,8.0,0.0,39.0,0.0,0.0,341.0,33.0,25.0,16.0,0.0,0.0,0.0,0.0,18.0,14.0,48.0,0.0,0.0,16.0,0.0,54.0,0.0,9.0,0.0,0.0,58.0,15.0,16.0,19.0,42.0,59.0,10.0,9.0,17.0,0.0,41.0,17.0,10.0,9.0,6.0,13.0,20.0,0.0,0.0,0.0,171.0,171.0,171.0,0.0,0.0,213.0,96.0,30.0,50.0,16.0,0.0,0.0,0.0,157.0,149.0,8.0,0.0,0.0,0.0,0.0,0.0,111.0,210.0,0.0,0.0,0.0,118.0,27.0,27.0,0.0,466.0,0.0,0.0,0.0,0.0,16.0,184.0,42.0,16.0,0.0,10.0,10.0,35.0,14.0,0.02145922746781116,0.07510729613733906,0.030042918454935622
